map_id	positions	path	name	dungeons
1	4	map/Lorien/s0.map	PVP无名	dungeon=1(ownership)
2	4	map/Lorien/s1.map	PVP无名	dungeon=1(ownership)
3	4	map/Lorien/s2.map	PVP无名	dungeon=1(ownership)
4	4	map/Lorien/s3.map	PVP无名	dungeon=1(ownership)
5	4	map/Lorien/4.map	PVP无名	dungeon=1(ownership)
6	4	map/Lorien/6.map	PVP无名	dungeon=1(ownership)
7	4	map/Lorien/7.map	PVP无名	dungeon=1(ownership)
8	4	map/Lorien/8.map	PVP无名	dungeon=1(ownership)
9	4	map/Lorien/9.map	PVP无名	dungeon=1(ownership)
10	4	map/Lorien/bn10.map	PVP无名	dungeon=1(ownership)
11	4	map/Lorien/bn11.map	PVP无名	dungeon=1(ownership)
12	4	map/Lorien/bn12.map	PVP无名	dungeon=1(ownership)
13	4	map/Lorien/b1.map	PVP无名	dungeon=1(ownership)
14	4	map/Lorien/b2.map	PVP无名	dungeon=1(ownership)
15	4	map/Lorien/b3.map	PVP无名	dungeon=1(ownership)
16	4	map/Lorien/5.map	PVP无名	dungeon=1(ownership)
20	4	map/Lorien/20(0,0)start.map	PVP无名	dungeon=1(ownership)
21	4	map/Lorien/21(1,0)normal.map	PVP无名	dungeon=1(ownership)
22	4	map/Lorien/22(2,0)normal.map	PVP无名	dungeon=1(ownership)
23	4	map/Lorien/23(0,1)normal.map	PVP无名	dungeon=1(ownership)
24	4	map/Lorien/24(0,1)boss.map	PVP无名	dungeon=1(ownership)
25	4	map/Lorien/25(1,1)normal.map	PVP无名	dungeon=1(ownership)
26	4	map/Lorien/26(2,1)normal.map	PVP无名	dungeon=1(ownership)
27	4	map/Lorien/27(0,2)normal.map	PVP无名	dungeon=1(ownership)
28	4	map/Lorien/28(0,2)boss.map	PVP无名	dungeon=1(ownership)
29	4	map/Lorien/29(1,2)normal.map	PVP无名	dungeon=1(ownership)
30	4	map/Lorien/30(2,2)normal.map	PVP无名	dungeon=1(ownership)
101	4	map/LorienInside/s101.map	PVP无名	dungeon=2(ownership)
102	4	map/LorienInside/s102.map	PVP无名	dungeon=2(ownership)
103	4	map/LorienInside/s103.map	PVP无名	dungeon=2(ownership)
104	4	map/LorienInside/104.map	PVP无名	dungeon=2(ownership)
105	4	map/LorienInside/105.map	PVP无名	dungeon=2(ownership)
106	4	map/LorienInside/106.map	PVP无名	dungeon=2(ownership)
107	4	map/LorienInside/107.map	PVP无名	dungeon=2(ownership)
108	4	map/LorienInside/108.map	PVP无名	dungeon=2(ownership)
109	4	map/LorienInside/109.map	PVP无名	dungeon=2(ownership)
110	4	map/LorienInside/110.map	PVP无名	dungeon=2(ownership)
111	4	map/LorienInside/111.map	PVP无名	dungeon=2(ownership)
112	4	map/LorienInside/112.map	PVP无名	dungeon=2(ownership)
113	4	map/LorienInside/113.map	PVP无名	dungeon=2(ownership)
114	4	map/LorienInside/bn114.map	PVP无名	dungeon=2(ownership)
115	4	map/LorienInside/bn115.map	PVP无名	dungeon=2(ownership)
116	4	map/LorienInside/bn116.map	PVP无名	dungeon=2(ownership)
117	4	map/LorienInside/b101.map	PVP无名	dungeon=2(ownership)
118	4	map/LorienInside/b102.map	PVP无名	dungeon=2(ownership)
119	4	map/LorienInside/b103.map	PVP无名	dungeon=2(ownership)
120	4	map/LorienInside/120(0,0)normal.map	PVP无名	dungeon=2(ownership)
121	4	map/LorienInside/121(1,0)start.map	PVP无名	dungeon=2(ownership)
122	4	map/LorienInside/122(1,0)boss.map	PVP无名	dungeon=2(ownership)
123	4	map/LorienInside/123(0,1)normal.map	PVP无名	dungeon=2(ownership)
124	4	map/LorienInside/124(1,1)normal.map	PVP无名	dungeon=2(ownership)
125	4	map/LorienInside/125(0,2)normal.map	PVP无名	dungeon=2(ownership)
126	4	map/LorienInside/126(1,2)normal.map	PVP无名	dungeon=2(ownership)
127	4	map/LorienInside/127(0,3)normal.map	PVP无名	dungeon=2(ownership)
128	4	map/LorienInside/128(1,3)start.map	PVP无名	dungeon=2(ownership)
129	4	map/LorienInside/129(1,3)boss.map	PVP无名	dungeon=2(ownership)
201	4	map/Mirkwood/s201.map		dungeon=3(ownership)
202	4	map/Mirkwood/s202.map	PVP无名	dungeon=3(ownership)
203	4	map/Mirkwood/202.map	PVP无名	dungeon=3(ownership)
204	4	map/Mirkwood/203.map	PVP无名	dungeon=3(ownership)
205	4	map/Mirkwood/204.map	PVP无名	dungeon=3(ownership)
206	4	map/Mirkwood/205.map	PVP无名	dungeon=3(ownership)
207	4	map/Mirkwood/207.map	PVP无名	dungeon=3(ownership)
208	4	map/Mirkwood/208.map	PVP无名	dungeon=3(ownership)
209	4	map/Mirkwood/209.map	PVP无名	dungeon=3(ownership)
210	4	map/Mirkwood/210.map	PVP无名	dungeon=3(ownership)
211	4	map/Mirkwood/211.map	PVP无名	dungeon=3(ownership)
212	4	map/Mirkwood/212.map	PVP无名	dungeon=3(ownership)
